title,description
Introduction to Computer Vision,"This course provides an introduction to computer vision including fundamentals of image formation, camera imaging geometry, feature detection and matching, multiview geometry including stereo, motion estimation and tracking, and classification. We’ll develop basic methods for applications that include finding known models in images, depth recovery from stereo, camera calibration, image stabilization, automated alignment (e.g. panoramas), tracking, and action recognition.  We focus less on the machine learning aspect of CV as that is really classification theory best learned in an ML course.,The focus of the course is to develop the intuitions and mathematics of the methods in lecture, and then to learn about the difference between theory and practice in the problem sets. All algorithms work perfectly in the slides. But remember what , said: In theory there is no difference between theory and practice. In practice there is. (Einstein said something similar but who knows more about real life?) In this course you do not, for the most part, apply high-level library functions but use low to mid level algorithms to analyze images and extract structural information."
Introduction to TensorFlow Lite,"Learn how to deploy deep learning models on mobile and embedded devices with TensorFlow Lite. This course was developed by the TensorFlow team and Udacity as a practical approach to model deployment for software developers. You'll get hands-on experience with the TensorFlow Lite framework as you deploy deep learning models on Android, iOS, and even an embedded Linux platform. By the end of this course, you'll have all the skills necessary to start deploying your own deep learning models into your apps."
Artificial Intelligence for Robotics," Learn how to program all the major systems of a robotic car. Topics include planning, search, localization, tracking, and control. "
Intro to Artificial Intelligence," This course will introduce you to the basics of AI. Topics include machine learning, probabilistic reasoning, robotics, computer vision, and natural language processing. "
Knowledge-Based AI: Cognitive Systems,"This is a core course in artificial intelligence. It is designed to be a challenging course, involving significant independent work, readings, assignments, and projects. It covers structured knowledge representations, as well as knowledge-based methods of problem solving, planning, decision-making, and learning.,The class is organized around three primary learning goals. First, this class teaches the concepts, methods, and prominent issues in knowledge-based artificial intelligence. Second, it teaches the specific skills and abilities needed to apply those concepts to the design of knowledge-based AI agents. Third, it teaches the relationship between knowledge-based artificial intelligence and the study of human cognition."
Data Analysis with R,"Exploratory data analysis is an approach for summarizing and visualizing the important characteristics of a data set. Promoted by ,, exploratory data analysis focuses on exploring data to understand the data’s underlying structure and variables, to develop intuition about the data set, to consider how that data set came into existence, and to decide how it can be investigated with more formal statistical methods.,If you're interested in supplemental reading material for the course check out the , book. (Not Required),This course is also a part of our , Nanodegree."
Intro to Hadoop and MapReduce,"The Apache™ Hadoop® project develops open-source software for reliable, scalable, distributed computing. Learn the fundamental principles behind it, and how you can use its power to make sense of your Big Data."
Machine Learning for Trading,"This course introduces students to the real world challenges of implementing machine learning based trading strategies including the algorithmic steps from information gathering to market orders. The focus is on how to apply probabilistic machine learning approaches to trading decisions. We consider statistical approaches like linear regression, KNN and regression trees and how to apply them to actual stock trading situations."
Real-Time Analytics with Apache Storm,"The world is trending in real time!  Learn from Twitter to scalably process tweets, or any big data stream, in real-time to drive d3 visualizations using Apache Storm, the ""Hadoop of Real Time.""  Storm is free, open source, and fun to use!  Learn from Karthik Ramasamy, Technical Lead of Storm@Twitter, about the distributed, fault-tolerant, and flexible technology used to power Twitter’s real-time data flow pipeline.  Twitter open sourced Storm in 2011, and it graduated to a top-level Apache project in September, 2014.  ,Starting from basic distributed concepts presented during our first Udacity-Twitter Storm Hackathon, link Storm concepts to Storm syntax to scalably drive Word Cloud visualizations with Vagrant, Ubuntu, Maven, Flask, Redis, and d3.  Link to the public Twitter gardenhose stream to process live tweets, parse embedded URLs, and calculate Top worldwide hashtags.  Extend beyond Storm basics by exploring multi-language capabilities in Python, integrate open source components, and implement real-time streaming joins.,In your final project, follow real-time trending topics by implementing the data pipeline to visualize only tweets that contain Top worldwide hashtags.  Extend your project by exploring the Twitter API, or any data source, alongside Hackathon participants as they design their own ideas, receive feedback from Karthik, and open source a final project calculating real-time tweet sentiment and geolocation to drive a U.S. Map."
A/B Testing,"This course will cover the design and analysis of A/B tests, also known as split tests, which are online experiments used to test potential improvements to a website or mobile application. Two versions of the website are shown to different users - usually the existing website and a potential change. Then, the results are analyzed to determine whether the change is an improvement worth launching. This course will cover how to choose and characterize metrics to evaluate your experiments, how to design an experiment with enough statistical power, how to analyze the results and draw valid conclusions, and how to ensure that the the participants of your experiments are adequately protected."
Machine Learning,"Machine Learning is a graduate-level course covering the area of Artificial Intelligence concerned with computer programs that modify and improve their performance through experiences. ,The first part of the course covers Supervised Learning, a machine learning task that makes it possible for your phone to recognize your voice, your email to filter spam, and for computers to learn a bunch of other cool stuff.,In part two, you will learn about Unsupervised Learning. Ever wonder how Netflix can predict what movies you'll like? Or how Amazon knows what you want to buy before you do? Such answers can be found in this section!,Finally, can we program machines to learn like humans? This Reinforcement Learning section will teach you the algorithms for designing self-learning agents like us!"
Data Visualization and D3.js,"Learn the fundamentals of data visualization and practice communicating with data. This course covers how to apply design principles, human perception, color theory, and effective storytelling to data visualization. If you present data to others, aspire to be an analyst or data scientist, or if you’d like to become more technical with visualization tools, then you can grow your skills with this course.,The course does not cover exploratory approaches to discover insights about data. Instead, the course focuses on how to visually encode and present data to an audience once an insight has been found.,This course is part of the ,."
Secure and Private AI,"What’s the earliest we can predict cancer survival rates, and what schools do the best job of educating children? You can only answer these questions with very rare access to private and personal data, but access to this personal data requires that you master methods for the principled protection of user privacy. While not all privacy use cases have been solved, the last few years have seen great strides in privacy-preserving technologies.,This free course will introduce you to three cutting-edge technologies for privacy-preserving AI: Federated Learning, Differential Privacy, and Encrypted Computation. You will learn how to use the newest privacy-preserving technologies, such as OpenMined's PySyft. PySyft extends Deep Learning tools—such as PyTorch—with the cryptographic and distributed technologies necessary to ,We encourage you to enter the , to both take the course and have a chance to win a scholarship for the Deep Learning or Computer Vision Nanodegree programs."
Artificial Intelligence,"Learn about the fundamentals of Artificial Intelligence in this introductory graduate-level course. It provides a survey of various topics in the field along with in-depth discussion of foundational concepts such as classical search, probability, machine learning, logic and planning."
Intel® Edge AI Fundamentals with OpenVINO™,Stay at the cutting-edge of AI technology by gaining practical skills for deploying edge AI. Learn how to use the Intel® Distribution of the OpenVINO™ toolkit to deploy computer vision capabilities inside a range of edge applications. Leverage the potential of edge computing and use the Intel® Distribution of the OpenVINO™ toolkit to fast-track development of high-performance computer vision and deep learning inference applications.
Intro to Descriptive Statistics,"Statistics is an important field of math that is used to analyze, interpret, and predict outcomes from data. Descriptive statistics will teach you the basic concepts used to describe data. This is a great beginner course for those interested in Data Science, Economics, Psychology, Machine Learning, Sports analytics and just about any other field."
Linear Algebra Refresher Course,"This mini-course is intended for students who would like a refresher on the basics of linear algebra. The course attempts to provide the motivation for ""why"" linear algebra is important in addition to ""what"" linear algebra is.,Students will learn concepts in linear algebra by applying them in computer programs. At the end of the course, you will have coded your own personal library of linear algebra functions that you can use to solve real-world problems."
Model Building and Validation,"This course will teach you how to start from scratch in answering questions about the real world using data. Machine learning happens to be a small part of this process. The model building process involves setting up ways of collecting data, understanding and paying attention to what is important in the data to answer the questions you are asking, finding a statistical, mathematical or a simulation model to gain understanding and make predictions. ,All of these things are equally important and model building is a crucial skill to acquire in every field of science. The process stays true to the scientific method, making what you learn through your models useful for gaining an understanding of whatever you are investigating as well as make predictions that hold true to test. ,We will take you on a journey through building various models. This process involves asking questions, gathering and manipulating data, building models, and ultimately testing and evaluating them."
Self-Driving Fundamentals: Featuring Apollo ,"Through this course, you will be able to identify key parts of self-driving cars and get to know Apollo architecture. You will be able to utilize Apollo HD Map, localization, perception, prediction, planning and control, and start the learning path of building a self-driving car. "
Cyber-Physical Systems Design & Analysis,"Cyber-physical systems, such as automobiles, cars, and medical devices, comprise both a physical part and a software part, whereby the physical part of the system sends information about itself to the software part, and the software sends information, usually in the form of commands, to the physical part. ,Physical systems have ""a life of their own,"" and they can often harm operators and/or cost a fortune to repair, the development of programs that control these systems cannot rely on ""trial and error,"" and they must consider in-depth the role of the human operator. ,This course introduces the principles, tools, models, and processes essential to cyber-physical system development, such as model-based development methods, basics of feedback for task scheduling, modern verification, and validation techniques, and their integration in today's industrial development processes."
Differential Equations in Action,"In this course, you'll hone your problem-solving skills through learning to find numerical solutions to systems of differential equations. You'll write code in Python to fight forest fires, rescue the Apollo 13 astronauts, stop the spread of epidemics, and resolve other real-world dilemmas."
Intro to Cloud Computing,
Machine Learning: Unsupervised Learning,"Ever wonder how Netflix can predict what movies you'll like? Or how Amazon knows what you want to buy before you do? The answer can be found in Unsupervised Learning!,Closely related to pattern recognition, Unsupervised Learning is about analyzing data and looking for patterns. It is an extremely powerful tool for identifying structure in data. This course focuses on how you can use Unsupervised Learning approaches -- including randomized optimization, clustering, and feature selection and transformation -- to find structure in unlabeled data. ,: Machine Learning is a graduate-level series of 3 courses, covering the area of Artificial Intelligence concerned with computer programs that modify and improve their performance through experiences. ,The entire series is taught as an engaging dialogue between two eminent Machine Learning professors and friends: Professor Charles Isbell (Georgia Tech) and Professor Michael Littman (Brown University)."
Hybrid Cloud Fundamentals,
Big Data Analytics in Healthcare,"Data science plays an important role in many industries. In facing massive amount of heterogeneous data, scalable machine learning and data mining algorithms and systems become extremely important for data scientists. The growth of volume, complexity and speed in data drives the need for scalable data analytic algorithms and systems. In this course, we study such algorithms and systems in the context of healthcare applications.,In healthcare, large amounts of heterogeneous medical data have become available in various healthcare organizations (payers, providers, pharmaceuticals). This data could be an enabling resource for deriving insights for improving care delivery and reducing waste. The enormity and complexity of these datasets present great challenges in analyses and subsequent applications to a practical clinical environment."
Managing Remote Teams with Upwork," As companies embrace remote work, managers need to adopt strategies tailored to globally distributed teams. In this course you'll learn the tools and develop the skills and strategies needed to hire, manage, and optimize remote teams. Udacity has developed this course in partnership with Upwork, the world's leading professional freelance platform. Managing Remote Teams gives you practical advice on how to build a culture that embraces remote workers and delivers bottomline results for your business. After taking this course, you'll be able to quickly apply remote-team best practices to your existing workforce, or begin building your remote workforce from scratch."
Get Your Startup Started,"In this course, you’ll learn how to pitch your business and secure the funding you’ll need to launch your new company. We’ll show you how to write clear, compelling, and targeted mission and vision statements, set quarterly and annual goals, and find mentors, co-founders, and contractors to provide help along the way. This will help you establish a strong foundation for your business and confidently pursue viable funding models, including bootstrapping, crowdsourcing, accelerators, incubators, and more. As the culmination of all of your hard work, you'll complete the course by developing your own unique pitch deck that you can use to secure investment, and launch your business."
How to Build a Startup,"In an introduction to the basics of the famous Customer Development Process, Steve Blank provides insight into the key steps needed to build a successful startup. ,The main idea in this course is learning how to rapidly develop and test ideas by gathering massive amounts of customer and marketplace feedback. Many startups fail by not validating their ideas early on with real-life customers. In order to mitigate that, students will learn how to get out of the building and search for the real pain points and unmet needs of customers. Only with these can the entrepreneur find a proper solution and establish a suitable business model.,Building a startup is not simply building an execution plan for a business model that the entrepreneur thinks will work, but rather, a search for the actual business model itself."
App Monetization,"There is no higher form of user validation than having customers support your product with their wallets. However, the path to a profitable business is not necessarily an easy one. This course blends instruction with real life examples to help you effectively develop, implement, and measure your monetization strategy, iterating on the model as appropriate."
A/B Testing for Business Analysts,"The A/B Testing course provides students with the foundational knowledge to design and analyze A/B tests to create business insights and support decision making. You will learn:,Throughout this course you’ll also learn the techniques to apply your knowledge in a data analytics program called Alteryx.,This course is part of the Business Analyst Nanodegree."
App Marketing,"Without customers, your business does not exist. Marketing helps you understand your potential user and focus your product on their needs. This course will help you organize a strategy of identifying your perfect user, find ways to connect with them and what you’ll say when you find them. This covers research, planning, execution and most importantly how to grow your user base."
Time Series Forecasting,"The Time Series Forecasting course provides students with the foundational knowledge to build and apply time series forecasting models in a variety of business contexts. You will learn:,Throughout this course you’ll also learn the techniques to apply your knowledge in a data analytics program called Alteryx.,This course is part of the Business Analyst Nanodegree Program."
Product Design," Learn product validation, UI/UX practices, Google’s Design Sprint and the process for setting and tracking actionable metrics. "
Segmentation and Clustering,"The Segmentation and Clustering course provides students with the foundational knowledge to build and apply clustering models to develop more sophisticated segmentation in business contexts. You will learn:,Throughout this course you’ll also learn the techniques to apply your knowledge in a data analytics program called Alteryx.,This course is part of the Business Analyst Nanodegree Program."
Classification Models,The Classification Models course provides students with the foundational knowledge to use classification models to create business insights. You will learn:
Problem Solving with Advanced Analytics,"The Problem Solving with Analytics course provides students with the foundational knowledge to use data analytics to create business insights. ,You will learn: "
Creating an Analytical Dataset,"The Creating an Analytical Dataset course provides students with foundational knowledge to input, clean, blend, and format data in preparation for analysis. You will learn:"
Rapid Prototyping,"Prototyping allows you to spend ten minutes — instead of ten hours — finding an amazing design for your product.  This course will guide you through the iterative process of prototyping an app and conducting user research. You will start by making a low fidelity paper prototype, conducting research with users, and using that research to inform your next iteration. Together with InVision we’ll guide you through creating interactive prototypes. This means you don’t have to code an app before putting it in front of users! Along the way, you’ll learn how and where prototyping fits into your app design process and how you can use prototyping to become a better entrepreneur."
Data Analysis and Visualization,"Data and visual analytics is an emerging field concerned with analyzing, modeling, and visualizing complex high dimensional data. ,This course will introduce students to the field by covering state­-of-­the-art modeling, analysis and visualization techniques. It will emphasize practical challenges involving complex real world data and include several case studies and hands-on work with the R programming language."
Intro to Data Analysis," Explore a variety of datasets, posing and answering your own questions about each. You'll be using the Python libraries NumPy, Pandas, and Matplotlib. "
SQL for Data Analysis, Learn to use Structured Query Language (SQL) to extract and analyze data stored in databases 
Intro to Data Science,"The Introduction to Data Science class will survey the foundational topics in data science, namely:,The class will focus on breadth and present the topics briefly instead of focusing on a single topic in depth. This will give you the opportunity to sample and apply the basic techniques of data science.,This course is also a part of our , Nanodegree."
Material Design for Android Developers,"In this course, you'll learn how to apply the material design principles that define Android's visual language to your apps. We'll start by walking you through Android design fundamentals, then we'll show you how to apply this knowledge to transform design elements of sample apps. By the end of the course, you'll understand how to create and use material design elements, surfaces, transitions and graphics in your app, across multiple form factors."
Engagement & Monetization | Mobile Games,"At first it may seem strange to consider monetization before a game is even completed, and many developers leave this as an afterthought. But monetization should be built into the fabric of a game from the beginning, because a clearly defined and understood monetization strategy can have tremendous impact on design decisions made during the development process. This kind of forward-thinking approach is especially important in today’s highly competitive game market, and keeping monetization strategy front-of-mind throughout can be the difference between product success and failure. ,This course will teach you how to make your game stand out in a very crowded field, and encourage people to pay for game features that will define the ultimate success of your product.,Currently, most game apps are free to play, and many users are looking for something simple and entertaining without the risk of making a purchase. We'll look at the most successful premium and freemium games, and discuss the most effective strategies for monetization. Our goal in this course is to teach students how to design games that produce sustainable revenue over the long-term."
Intro to Psychology,Introduction to Psychology is a journey through all of the major psychological concepts and principles. The knowledge gained from this course will allow students to critically evaluate psychological research and have a more in-depth understanding of human thought and behavior.
Passwordless Login Solutions for Android,"For an app developer, providing a seamless user experience is critical for building engagement and growing a user base. Passwordless login solutions provide your users with a simple, secure, and positive first experience.,In this course, you'll learn two frameworks for sign-up and authentication: Account Kit, which uses a phone number and code, and Facebook Login for Android. You’ll learn how to configure both types of authentication side by side in a sample app, test the flow on a series of common use cases, and wrap things up with an introduction to Facebook’s Graph API, a window into an incredible wealth of data for creating a more engaging experience for your users."
Google Maps APIs,"This course will introduce you to the content available through the Google Maps APIs. You’ll be walked through building a real-estate listings site step-by-step, using a beautifully styled Google map, data visualization, street view panoramas, and various nifty location related features such as calculating distance between locations, getting directions, and viewing places of interest data.  You’ll also see other examples of Google Maps APIs in action, and understand how to put your new knowledge into practice by creating your own Project in the Google APIs Console."
How to Make an iOS App,"Do you have some experience building apps for the iPhone or iPad and want to build an app from the ground up, but don't know where to begin? Look no further! In this course, you'll learn the process of building an iOS app, from brainstorming ideas to publishing on the App Store."
Intro to DevOps,"The goal of this course is to take existing IT professionals, whether they come from software development or operations, and help them appreciate the challenges facing companies who are looking to embrace scalable software deployment as well as the architectures and thought processes they can use to address these challenges. ,Students will start with a presentation of the problem as it stands today, then dive into the DevOps workflow and a survey of the system architectures currently being used to address this problem."
Configuring Linux Web Servers,"In this course you'll learn the basic Linux fundamentals every web developer needs to know to share their web applications with the world! You'll get a basic Python WSGI application up and running within a Vagrant virtual machine that queries data from a PostgreSQL database.,You'll start by exploring various Linux distributions and learning the differences between a number of them. You'll then explore how the Linux operating system differs from other operating systems you may be more familiar with. With this base knowledge, you'll then move into Linux security - covering topics such as file permissions, user management, package management and configuring firewalls. Finally, you'll transform a safe and secure baseline server into a web application server by installing and configuring the Apache HTTP Server and PostgreSQL database server."
Firebase Analytics: Android,"In this course, you’ll learn how to grow an app's user base using Firebase Analytics, a free and unlimited analytics solution. You'll be able to learn who your users are and how they interact with your app. You can then use this information to make informed decisions to improve your app, such as how difficult to make a level in a game, where to place an advertisement, or what products to stock.,We'll begin by covering the basics of digital analytics focusing on an app that is live in the App Store and Google Play Store as an example. You'll then explore the app's actual usage data using the Firebase console. After that, you'll learn how easy it is to add Firebase Analytics to an app and quickly gain insights. Finally, you'll learn how to use Firebase Crash Reporting, Firebase Remote Config, and Firebase Dynamic Links integrated with Firebase Analytics to improve your app and grow your user base.,By the end of this course you'll have an app that records how users interact with it, and you'll know how use that data to improve performance. You'll have the foundation needed to apply Firebase Analytics to your own apps."
JavaScript and the DOM,"JavaScript is an extremely powerful programming language. One place where its power truly shines is using it to control a web page. Through this course, you'll learn about the Document Object Model (DOM), how it's created, and what capabilities it provides. Then you'll use JavaScript and the DOM to add, delete, or alter page content; control page styling, and respond to user actions."
Mobile Design and Usability for Android,"Featuring Facebook's experts in User Research and Product Design, this course walks you through the steps to design a new mobile product that puts users first. You'll learn how to use data collected from users to guide prototyping, and conduct user testing with a production app to guide a future redesign."
Network Security,"The summary for this course comes from the ,. Note that watching this course on Udacity does not count for Georgia Tech credit unless you are enrolled in the , program.,This course provides an introduction to computer and network security. Students successfully completing this class will be able to evaluate works in academic and commercial security, and will have rudimentary skills in security research. The course begins with a tutorial of the basic elements of cryptography, cryptanalysis, and systems security, and continues by covering a number of seminal papers and monographs in a wide range of security areas.,Topics covered include network security, authentication, security protocol design and analysis, security modeling, trusted computing, key management, program safety, intrusion detection, DDOS detection and mitigation, architecture/operating systems security, security policy, group systems, biometrics, web security, and other emerging topics.,Most of the course readings will come from seminal papers in the field. Links to these papers will be provided on the course pages. In addition, links to critical reference materials will also be provided."
C++ For Programmers,"C++ for Programmers is designed for students who are familiar with a programming language and wish to learn C++.,This course focuses on 'how' as opposed to 'what'. For example, in the lesson on functions, we do not teach what a function is, but rather how to create a function in C++.,The lessons are taught by several different instructors who have used C++ in their professional careers, so students get to experience different perspectives. ,The course also includes comments and tips from Bjarne Stroustrup - the original designer of C++."
Applied Cryptography,"Cryptography is present in everyday life, from paying with a credit card to using the telephone. Learn all about making and breaking puzzles in computing."
Deploying Applications with Heroku,"This course will introduce you to web deployment platforms. You’ll begin by deploying your first web application to the Heroku platform, making it publicly available on the internet. In the process, you will learn about the underlying mechanics of web hosting. You will also learn how to configure your app, from accessing log output to configuring environment variables."
Intro to Point & Click App Development,"This class teaches you how to build powerful web and mobile apps and host them in the cloud, without writing a line of code.,By the end of this short course, you'll use the skills you've developed to conceptualize and create your own app. To get you there, your instructors Samantha and Andy will first help you build an app that could be used to manage logistics at a music festival. Though this is a very specific app use case, the skills you learn will be applicable to just about any business app you’d want to develop."
Firebase in a Weekend: iOS,"In this course, you’ll learn how to use Firebase. Firebase is app development platform that provides developers a variety of tools and a scalable infrastructure to build high quality apps. ,We’ll begin by showing you how easy it is to read and write almost any data to Firebase. After that, we’ll teach you how to allow users to login, have data associated with them and send them notifications. You’ll learn how to use Firebase’s Security and Rules language to secure and add permissions to your data.,Firebase Remote Config gives you the ability to tune and customize your app without having to publish a new version. Finally we’ll give you a brief overview of Firebase Analytics so you can collect data from the start. ,Got extra time this weekend? As a bonus, you will write your own Cloud Function for Firebase that makes chat more fun by adding emojis to FriendlyChat conversations. Cloud Functions for Firebase integrates the Firebase platform by letting you write code that responds to events and invokes functionality exposed by other Firebase features.,By the end of this course you will have an iOS application that can store and share data between different users in real time as well as authenticate and authorize those users."
